idDeputado;nome;sgUF;sgPartido;idLegislatura;situacao;condicaoEleitoral;produtividade_legislativa;gasto_ceap_ajustado;pct_andamento;pct_fracasso;pct_sucesso;temas_destaque;quadrante;ranking_leg;ranking_gastos;ranking_soma;ranking
220715;Amom Mandel;AM;REPUBLICANOS;57;Exercício;Titular;3215.2000000000003;22.04;0.7895179962113239;0.20879814775836666;0.0016838560303094085;Saúde, Administração Pública e Direitos Humanos e Minorias;Alta produtividade e baixo custo;3;1;4;1
204536;Kim Kataguiri;SP;MISSÃO;57;Exercício;Titular;894.8000000000001;98209.17;0.7114093959731543;0.2833706189410887;0.005219985085756898;Administração Pública, Direito Penal e Processual Penal e Defesa e Segurança;Alta produtividade e baixo custo;17;17;34;2
204528;Adriana Ventura;SP;NOVO;57;Exercício;Titular;1032.8;182338.37;0.7463768115942029;0.25;0.0036231884057971015;Administração Pública, Finanças Públicas e Orçamento e Defesa e Segurança;Alta produtividade e baixo custo;12;26;38;3
204365;Gilson Marques;SC;NOVO;57;Exercício;Titular;497.4;389919.83;0.8296795952782462;0.16526138279932545;0.00505902192242833;Administração Pública, Finanças Públicas e Orçamento e Defesa e Segurança;Alta produtividade e baixo custo;53;38;91;4
156190;Marcel van Hattem;RS;NOVO;57;Exercício;Titular;589.6;606576.43;0.7310126582278481;0.26371308016877637;0.005274261603375527;Administração Pública, Finanças Públicas e Orçamento e Defesa e Segurança;Alta produtividade e baixo custo;37;61;98;5
178937;Altineu Côrtes;RJ;PL;57;Exercício;Titular;8642.300000000001;969224.7;0.8885480572597138;0.10736196319018405;0.00408997955010225;Processo Legislativo e Atuação Parlamentar, Finanças Públicas e Orçamento e Administração Pública;Alta produtividade e baixo custo;1;103;104;6
204572;Capitão Alberto Neto;AM;PL;57;Exercício;Titular;1444.1;948003.18;0.8446480633069554;0.15077051228654728;0.004581424406497293;Saúde, Administração Pública e Defesa e Segurança;Alta produtividade e baixo custo;10;101;111;7
160512;Aureo Ribeiro;RJ;SOLIDARIEDADE;57;Exercício;Titular;715.7;839200.52;0.7455795677799607;0.2475442043222004;0.0068762278978389;Administração Pública, Direitos Humanos e Minorias e Finanças Públicas e Orçamento;Alta produtividade e baixo custo;27;86;113;8
204369;Caroline de Toni;SC;PL;57;Exercício;Titular;429.6;470588.18;0.7871198568872988;0.20572450805008943;0.007155635062611807;Administração Pública, Finanças Públicas e Orçamento e Direitos Humanos e Minorias;Alta produtividade e baixo custo;71;45;116;9
204462;Chris Tonietto;RJ;PL;57;Exercício;Titular;500.7;722418.6;0.806312769010043;0.18794835007173602;0.005738880918220947;Direitos Humanos e Minorias, Administração Pública e Saúde;Alta produtividade e baixo custo;52;70;122;10
220713;Saullo Vianna;AM;MDB;57;Exercício;Titular;886.1;998494.72;0.8217054263565892;0.17506459948320413;0.003229974160206718;Direitos Humanos e Minorias, Defesa e Segurança e Meio Ambiente e Desenvolvimento Sustentável;Alta produtividade e baixo custo;18;111;129;11
