idProposicao;uriProposicao;idDeputadoAutor;uriAutor;codTipoAutor;tipoAutor;nomeAutor;siglaPartidoAutor;uriPartidoAutor;siglaUFAutor;ordemAssinatura;proponente;ano
2389646;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2389646;178985.0;https://dadosabertos.camara.leg.br/api/v2/deputados/178985;10000;Deputado(a);Miguel Lombardi;PL;https://dadosabertos.camara.leg.br/api/v2/partidos/37906;SP;14.0;0.0;2023
2481769;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2481769;220538.0;https://dadosabertos.camara.leg.br/api/v2/deputados/220538;10000;Deputado(a);Albuquerque;REPUBLIC;;RR;9.0;0.0;2024
2413433;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2413433;204534.0;https://dadosabertos.camara.leg.br/api/v2/deputados/204534;10000;Deputado(a);Tabata Amaral;PSB;https://dadosabertos.camara.leg.br/api/v2/partidos/36832;SP;141.0;1.0;2023
2375905;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2375905;;https://dadosabertos.camara.leg.br/api/v2/orgaos/2003;2;COMISSÃO PERMANENTE;Comissão de Constituição e Justiça e de Cidadania;;;;1.0;1.0;2023
2413208;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2413208;141480.0;https://dadosabertos.camara.leg.br/api/v2/deputados/141480;10000;Deputado(a);Lázaro Botelho;PP;https://dadosabertos.camara.leg.br/api/v2/partidos/37903;TO;1.0;1.0;2023
2380340;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2380340;204566.0;https://dadosabertos.camara.leg.br/api/v2/deputados/204566;10000;Deputado(a);Marreca Filho;PATRIOTA;https://dadosabertos.camara.leg.br/api/v2/partidos/37907;MA;31.0;1.0;2023
2389560;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2389560;220575.0;https://dadosabertos.camara.leg.br/api/v2/deputados/220575;10000;Deputado(a);Sonize Barbosa;PL;https://dadosabertos.camara.leg.br/api/v2/partidos/37906;AP;53.0;0.0;2023
2435133;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2435133;220623.0;https://dadosabertos.camara.leg.br/api/v2/deputados/220623;10000;Deputado(a);Duda Salabert;PDT;https://dadosabertos.camara.leg.br/api/v2/partidos/36786;MG;51.0;0.0;2024
2370256;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2370256;160666.0;https://dadosabertos.camara.leg.br/api/v2/deputados/160666;10000;Deputado(a);Félix Mendonça Júnior;PDT;https://dadosabertos.camara.leg.br/api/v2/partidos/36786;BA;1.0;1.0;2023
2412857;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2412857;204573.0;https://dadosabertos.camara.leg.br/api/v2/deputados/204573;10000;Deputado(a);Otto Alencar Filho;PSD;https://dadosabertos.camara.leg.br/api/v2/partidos/36834;BA;1.0;1.0;2023
