id_deputado,total_proposicoes,indice_produtividade,total_gastos,siglaPartido,siglaUf,nomeCivil,eficiencia
220593,412,94.4,855776.77,PL,MT,Abilio Brunini,0.00011030914054841662
204379,189,71.0,1235933.05,MDB,AP,Acácio Favacho,5.7446477379984296e-05
220714,219,101.4,1245770.1,REPUBLICANOS,AM,Adail Filho,8.139543564257963e-05
221328,226,80.8,1064702.14,PL,SP,Adilson Barroso,7.588976950868157e-05
204560,248,50.0,957670.86,PSDB,BA,Adolfo Viana,5.2210004593853885e-05
204528,1458,340.8,147943.74,NOVO,SP,Adriana Ventura,0.0023035783737791137
121948,239,63.2,1048752.57,PP,GO,Adriano do Baldy,6.026206925051921e-05
74646,26,11.200000000000001,1026809.96,PSDB,MG,Aécio Neves,1.090756852416975e-05
136811,224,95.9,1213901.41,PP,RS,Afonso Hamm,7.90014734392639e-05
178835,570,74.2,1203444.68,PDT,RS,Afonso Motta,6.165634468549066e-05
160527,48,12.0,1064738.77,PP,PB,Aguinaldo Ribeiro,1.1270370102142518e-05
204495,293,82.5,1163072.89,PT,PA,Airton Faleiro,7.093278564854178e-05
204549,40,10.8,694352.46,PP,CE,AJ Albuquerque,1.5554060253491436e-05
73579,563,222.1,944437.34,PL,DF,Alberto Fraga,0.00023516647488757697
74696,84,37.8,716088.55,MDB,SP,Alberto Mourão,5.278676778172196e-05
220538,476,157.8,1268001.72,REPUBLICANOS,RR,Albuquerque,0.00012444778071752144
160559,225,75.4,1178766.37,MDB,RS,Alceu Moreira,6.396517742527724e-05
204501,655,70.4,1094242.07,PT,SP,Alencar Santana,6.43367696509786e-05
178972,201,47.2,646821.16,CIDADANIA,SP,Alex Manente,7.297225712281893e-05
204571,76,26.7,897918.86,REPUBLICANOS,BA,Alex Santana,2.9735426205436868e-05
220542,297,100.10000000000001,1133934.2,MDB,TO,Alexandre Guimarães,8.827672716811964e-05
160545,45,19.0,625371.1900000001,UNIÃO,SP,Alexandre Leite,3.0381956034783114e-05
220554,315,113.0,1000509.78,PT,RS,Alexandre Lindenmeyer,0.00011294242421098572
221148,270,67.2,1000837.41,PT,SP,Alfredinho,6.714377313294074e-05
220576,566,124.0,898299.75,UNIÃO,AL,Alfredo Gaspar,0.0001380385556157619
74057,318,76.60000000000001,1178800.15,PCdoB,BA,Alice Portugal,6.498132868408611e-05
178927,103,34.9,1157067.17,PV,PR,Aliel Machado,3.016246671314683e-05
226708,289,64.3,756366.4,PP,MA,Allan Garcês,8.501170861106469e-05
178937,3354,219.20000000000002,866582.25,PL,RJ,Altineu Côrtes,0.0002529477150033941
178881,224,60.300000000000004,955457.99,REPUBLICANOS,MA,Aluisio Mendes,6.311109502574781e-05
220596,177,56.1,680332.71,PL,MT,Amália Barros,8.245965418890414e-05
220707,180,54.800000000000004,960478.09,PP,MA,Amanda Gentil,5.7054919389155464e-05
204356,146,40.7,1147797.04,REPUBLICANOS,ES,Amaro Neto,3.545923066677363e-05
220715,2477,754.0,22485.49,CIDADANIA,AM,Amom Mandel,0.03353273599997154
107970,176,44.800000000000004,1025961.95,PP,MG,Ana Paula Leão,4.3666336748648435e-05
220556,424,93.60000000000001,1078325.97,PT,SC,Ana Paula Lima,8.680121095479135e-05
220632,347,97.5,1015652.43,PT,MG,Ana Pimentel,9.599740730202358e-05
220657,246,96.4,540563.67,PL,CE,André Fernandes,0.0001783323692470861
204423,184,65.7,1329324.93,PL,PE,André Ferreira,4.9423582238843596e-05
133439,687,164.70000000000002,1108982.44,PDT,CE,André Figueiredo,0.0001485145247205177
178882,56,8.5,177261.78,PP,MA,André Fufuca,4.795167914933496e-05
204515,52,22.0,1007850.68,AVANTE,MG,André Janones,2.1828630407829856e-05
220676,261,70.0,656301.86,MDB,PA,Andreia Siqueira,0.00010665823802480158
123756,261,96.5,1228149.33,REPUBLICANOS,AC,Antônia Lúcia,7.857350701807573e-05
220544,60,20.1,1137333.04,REPUBLICANOS,TO,Antonio Andrade,1.7672923667108097e-05
160553,586,140.8,1090317.05,PSD,BA,Antonio Brito,0.00012913674971880886
