id_deputado,total_proposicoes,indice_produtividade,total_gastos,siglaPartido,siglaUf,nomeCivil,ranking_gastos,ranking_produtividade,pontuacao_final,ranking_final
220593,412.0,94.4,760830.11,PL,MT,Abilio Brunini,225.0,146.0,371.0,79.0
204379,189.0,71.0,975825.04,MDB,AP,Acácio Favacho,455.0,215.0,670.0,274.0
220714,219.0,101.4,1166795.6300000001,REPUBLICANOS,AM,Adail Filho,598.0,122.0,720.0,305.0
221328,226.0,80.8,961913.0999999999,PL,SP,Adilson Barroso,433.0,185.0,618.0,241.0
204560,248.0,50.0,806722.5,PSDB,BA,Adolfo Viana,257.0,307.0,564.0,203.0
204528,1458.0,340.8,93943.41999999998,NOVO,SP,Adriana Ventura,37.0,8.0,45.0,2.0
121948,239.0,63.2,1048752.57,PP,GO,Adriano do Baldy,538.0,252.0,790.0,337.0
74646,26.0,11.200000000000001,858059.6399999999,PSDB,MG,Aécio Neves,300.0,444.0,744.0,318.0
136811,224.0,95.9,1057369.4,PP,RS,Afonso Hamm,546.0,139.0,685.0,285.0
178835,570.0,74.2,966178.35,PDT,RS,Afonso Motta,440.0,205.0,645.0,262.0
160527,48.0,12.0,844716.0,PP,PB,Aguinaldo Ribeiro,287.0,442.0,729.0,308.0
204495,293.0,82.5,924942.9299999999,PT,PA,Airton Faleiro,378.0,178.0,556.0,199.0
204549,40.0,10.8,609502.51,PP,CE,AJ Albuquerque,157.0,446.0,603.0,232.0
73579,563.0,222.1,880785.01,PL,DF,Alberto Fraga,322.0,23.0,345.0,63.0
74696,84.0,37.8,633787.5,MDB,SP,Alberto Mourão,161.0,357.0,518.0,168.0
220538,476.0,157.8,1187646.92,REPUBLICANOS,RR,Albuquerque,601.0,40.0,641.0,258.0
160559,225.0,75.4,959498.2700000001,MDB,RS,Alceu Moreira,428.0,201.0,629.0,250.0
204501,655.0,70.4,976780.52,PT,SP,Alencar Santana,457.0,217.0,674.0,276.0
178972,201.0,47.2,519186.9,CIDADANIA,SP,Alex Manente,136.0,321.0,457.0,120.0
204571,76.0,26.7,755221.57,REPUBLICANOS,BA,Alex Santana,220.0,395.0,615.0,239.0
220542,297.0,100.10000000000001,1093813.79,MDB,TO,Alexandre Guimarães,576.0,127.0,703.0,295.0
160545,45.0,19.0,447413.7200000001,UNIÃO,SP,Alexandre Leite,119.0,424.0,543.0,190.0
220554,315.0,113.0,732525.76,PT,RS,Alexandre Lindenmeyer,210.0,103.0,313.0,44.0
221148,270.0,67.2,855719.39,PT,SP,Alfredinho,297.0,231.0,528.0,177.0
220576,566.0,124.0,787681.19,UNIÃO,AL,Alfredo Gaspar,241.0,76.0,317.0,47.0
74057,318.0,76.60000000000001,991246.2299999999,PCdoB,BA,Alice Portugal,477.0,197.0,674.0,276.0
178927,103.0,34.9,870346.7999999999,PV,PR,Aliel Machado,315.0,366.0,681.0,281.0
226708,289.0,64.3,639928.24,PP,MA,Allan Garcês,167.0,248.0,415.0,98.0
178937,3354.0,219.20000000000002,669167.13,PL,RJ,Altineu Côrtes,183.0,25.0,208.0,18.0
178881,224.0,60.300000000000004,799556.4,REPUBLICANOS,MA,Aluisio Mendes,249.0,265.0,514.0,165.0
220596,177.0,56.1,566306.5499999999,PL,MT,Amália Barros,149.0,283.0,432.0,109.0
220707,180.0,54.800000000000004,887369.75,PP,MA,Amanda Gentil,331.0,288.0,619.0,242.0
204356,146.0,40.7,1029985.42,REPUBLICANOS,ES,Amaro Neto,521.0,348.0,869.0,372.0
220715,2477.0,754.0,2857.16,CIDADANIA,AM,Amom Mandel,4.0,2.0,6.0,1.0
107970,176.0,44.800000000000004,993575.8899999999,PP,MG,Ana Paula Leão,482.0,334.0,816.0,350.0
220556,424.0,93.60000000000001,952479.9,PT,SC,Ana Paula Lima,416.0,148.0,564.0,203.0
220632,347.0,97.5,832897.8500000001,PT,MG,Ana Pimentel,272.0,135.0,407.0,92.0
220657,246.0,96.4,387385.82000000007,PL,CE,André Fernandes,111.0,138.0,249.0,30.0
204423,184.0,65.7,1160713.44,PL,PE,André Ferreira,597.0,240.0,837.0,361.0
133439,687.0,164.70000000000002,879946.7799999999,PDT,CE,André Figueiredo,321.0,37.0,358.0,69.0
178882,56.0,8.5,72651.94,PP,MA,André Fufuca,30.0,454.0,484.0,136.0
204515,52.0,22.0,943444.5700000001,AVANTE,MG,André Janones,403.0,413.0,816.0,350.0
220676,261.0,70.0,550712.9,MDB,PA,Andreia Siqueira,145.0,219.0,364.0,73.0
123756,261.0,96.5,997882.1500000001,REPUBLICANOS,AC,Antônia Lúcia,487.0,137.0,624.0,245.0
220544,60.0,20.1,1125110.58,REPUBLICANOS,TO,Antonio Andrade,587.0,418.0,1005.0,397.0
160553,586.0,140.8,859876.3200000001,PSD,BA,Antonio Brito,303.0,50.0,353.0,67.0
220638,182.0,61.7,756044.33,PL,SP,Antonio Carlos Rodrigues,222.0,258.0,480.0,132.0
220675,48.0,11.200000000000001,921674.2400000001,MDB,PA,Antônio Doido,373.0,444.0,817.0,351.0
220549,308.0,109.7,437979.81000000006,CIDADANIA,RS,Any Ortiz,116.0,108.0,224.0,24.0
73433,163.0,29.6,725969.0599999999,PT,SP,Arlindo Chinaglia,206.0,387.0,593.0,223.0
141391,219.0,52.800000000000004,874448.97,CIDADANIA,SP,Arnaldo Jardim,316.0,294.0,610.0,236.0
160541,4.0,0.4,129446.67,PP,AL,Arthur Lira,51.0,483.0,534.0,183.0
160600,205.0,44.6,1042890.9799999999,UNIÃO,BA,Arthur Oliveira Maia,535.0,335.0,870.0,373.0
74090,79.0,34.4,899643.1200000001,PSD,AM,Átila Lins,346.0,369.0,715.0,301.0
123086,115.0,30.1,984828.0800000001,PP,PI,Átila Lira,469.0,385.0,854.0,368.0
160665,264.0,65.9,1089348.18,REPUBLICANOS,PE,Augusto Coutinho,573.0,238.0,811.0,349.0
220577,207.0,69.2,955274.8799999999,MDB,AP,Augusto Puppio,423.0,222.0,645.0,262.0
160512,1082.0,243.0,561055.23,SOLIDARIEDADE,RJ,Aureo Ribeiro,147.0,17.0,164.0,7.0
69871,494.0,104.7,984814.21,PV,BA,Bacelar,468.0,115.0,583.0,215.0
178975,62.0,20.2,654785.57,MDB,SP,Baleia Rossi,175.0,417.0,592.0,222.0
220605,214.0,78.10000000000001,654589.06,PSB,RJ,Bandeira de Mello,174.0,191.0,365.0,74.0
220612,214.0,70.2,957163.3700000001,PP,RJ,Bebeto,425.0,218.0,643.0,260.0
73701,314.0,78.4,843812.18,PT,RJ,Benedita da Silva,285.0,190.0,475.0,128.0
109429,234.0,61.0,997742.37,UNIÃO,RN,Benes Leocádio,486.0,262.0,748.0,320.0
204358,126.0,42.1,1138251.77,PSDB,MS,Beto Pereira,590.0,345.0,935.0,392.0
220698,26.0,8.1,240555.92000000004,PSD,PR,Beto Preto,92.0,457.0,549.0,193.0
220683,150.0,57.0,805592.8,PSDB,PR,Beto Richa,255.0,281.0,536.0,185.0
204374,685.0,139.1,838406.87,PL,DF,Bia Kicis,277.0,52.0,329.0,53.0
204388,435.0,140.6,1104811.81,PL,RS,Bibo Nunes,583.0,51.0,634.0,253.0
160538,251.0,54.800000000000004,1072597.78,PT,RS,Bohn Gass,564.0,288.0,852.0,367.0
74052,1.0,0.4,147406.4,PL,SE,Bosco Costa,59.0,483.0,542.0,189.0
210989,243.0,74.2,890688.9,AVANTE,MG,Bruno Farias,335.0,205.0,540.0,188.0
220635,270.0,97.2,677040.37,PODE,SP,Bruno Ganem,190.0,136.0,326.0,51.0
220574,926.0,317.6,993152.8999999999,PL,PB,Cabo Gilberto Silva,481.0,10.0,491.0,142.0
143942,128.0,50.800000000000004,160805.40000000002,PSD,RJ,Caio Vianna,64.0,302.0,366.0,75.0
220548,504.0,146.0,1038887.65,PT,MS,Camila Jara,530.0,48.0,578.0,211.0
204572,2334.0,413.5,652802.54,PL,AM,Capitão Alberto Neto,173.0,6.0,179.0,10.0
220690,612.0,127.5,953435.5799999998,PL,BA,Capitão Alden,419.0,73.0,492.0,143.0
178829,238.0,81.7,1087684.64,PL,SP,Capitão Augusto,572.0,181.0,753.0,323.0
229069,11.0,6.0,166368.57,PP,SE,Capitão Samuel,68.0,466.0,534.0,183.0
229106,82.0,36.4,98934.51,PT,SC,Carla Ayres,40.0,362.0,402.0,88.0
213762,29.0,0.0,45088.21000000001,UNIÃO,RN,Carla Dickson,24.0,485.0,509.0,160.0
204507,270.0,109.3,900636.83,PL,SP,Carla Zambelli,347.0,110.0,457.0,120.0
204361,197.0,68.0,477156.94999999995,MDB,SC,Carlos Chiodini,125.0,227.0,352.0,66.0
178962,67.0,25.200000000000003,185945.47,REPUBLICANOS,RS,Carlos Gomes,80.0,400.0,480.0,132.0
178993,256.0,92.0,1050806.38,UNIÃO,TO,Carlos Henrique Gaguim,541.0,153.0,694.0,290.0
204460,285.0,57.300000000000004,684606.07,PL,RJ,Carlos Jordy,196.0,279.0,475.0,128.0
74262,78.0,28.3,764709.1800000002,PSD,SP,Carlos Sampaio,230.0,391.0,621.0,243.0
204426,474.0,81.4,1057494.9900000002,PT,PE,Carlos Veras,547.0,183.0,730.0,309.0
141398,155.0,53.5,1012538.49,PT,SP,Carlos Zarattini,504.0,291.0,795.0,340.0
164360,41.0,14.4,107414.65999999999,CIDADANIA,SC,Carmen Zanotto,43.0,435.0,478.0,130.0
220704,363.0,95.2,842488.96,PT,PR,Carol Dartora,284.0,143.0,427.0,106.0
204369,416.0,89.10000000000001,238886.38,PL,SC,Caroline de Toni,90.0,163.0,253.0,32.0
220699,95.0,26.8,824496.75,PSD,PI,Castro Neto,268.0,394.0,662.0,269.0
206018,1274.0,133.4,840326.0699999998,PSOL,MG,Célia Xakriabá,280.0,64.0,344.0,62.0
178876,149.0,46.4,874870.16,MDB,GO,Célio Silveira,317.0,325.0,642.0,259.0
